phase,T_celsius,T_K,elem_a,elem_b,omega_Jmol,z_bcc,lsq_xmin,lsq_xmax,lsq_npts
BCC_A2,550,823.15,CR,CU,-7.364062621610298e-10,8,0.05,0.95,19
BCC_A2,550,823.15,CR,FE,2641.376272886591,8,0.05,0.95,19
BCC_A2,550,823.15,CR,MN,-2524.4009413999565,8,0.05,0.95,19
BCC_A2,550,823.15,CR,MO,887.2798125323495,8,0.05,0.95,19
BCC_A2,550,823.15,CR,NB,317.3323756575711,8,0.05,0.95,19
BCC_A2,550,823.15,CR,NI,-19.67998942328603,8,0.05,0.95,19
BCC_A2,550,823.15,CR,SI,-13066.555417487745,8,0.05,0.95,19
BCC_A2,550,823.15,CR,TI,976.109073528815,8,0.05,0.95,19
BCC_A2,550,823.15,CR,W,214.86452491074866,8,0.05,0.95,19
BCC_A2,550,823.15,CU,FE,45.590030485667995,8,0.05,0.95,19
BCC_A2,550,823.15,CU,MN,1958.9818798187696,8,0.05,0.95,19
BCC_A2,550,823.15,CU,MO,2.0929494225156684e-08,8,0.05,0.95,19
BCC_A2,550,823.15,CU,NB,22.254600519289134,8,0.05,0.95,19
BCC_A2,550,823.15,CU,NI,1103.7352884323757,8,0.05,0.95,19
BCC_A2,550,823.15,CU,SI,-3259.140195557222,8,0.05,0.95,19
BCC_A2,550,823.15,CU,TI,-1.3409667440523685e-08,8,0.05,0.95,19
BCC_A2,550,823.15,CU,W,2.212041932658832e-08,8,0.05,0.95,19
BCC_A2,550,823.15,FE,MN,1686.9778231861644,8,0.05,0.95,19
BCC_A2,550,823.15,FE,MO,382.204772109556,8,0.05,0.95,19
BCC_A2,550,823.15,FE,NB,1209.325701202561,8,0.05,0.95,19
BCC_A2,550,823.15,FE,NI,609.0013084378114,8,0.05,0.95,19
BCC_A2,550,823.15,FE,SI,-16887.990528917995,8,0.05,0.95,19
BCC_A2,550,823.15,FE,TI,-5527.594974259657,8,0.05,0.95,19
BCC_A2,550,823.15,FE,W,78.51098381676726,8,0.05,0.95,19
BCC_A2,550,823.15,MN,MO,1273.646202477619,8,0.05,0.95,19
BCC_A2,550,823.15,MN,NB,23.70854600572435,8,0.05,0.95,19
BCC_A2,550,823.15,MN,NI,-344.37600760492256,8,0.05,0.95,19
BCC_A2,550,823.15,MN,SI,-11178.320226733156,8,0.05,0.95,19
BCC_A2,550,823.15,MN,TI,-2876.146816799913,8,0.05,0.95,19
BCC_A2,550,823.15,MN,W,23.708546007204184,8,0.05,0.95,19
BCC_A2,550,823.15,MO,NB,1.221125516176544e-08,8,0.05,0.95,19
BCC_A2,550,823.15,MO,NI,32.7664132066219,8,0.05,0.95,19
BCC_A2,550,823.15,MO,SI,-7499.62593902416,8,0.05,0.95,19
BCC_A2,550,823.15,MO,TI,-1188.8643430352724,8,0.05,0.95,19
BCC_A2,550,823.15,MO,W,249.9875312929271,8,0.05,0.95,19
BCC_A2,550,823.15,NB,NI,-2282.383321002118,8,0.05,0.95,19
BCC_A2,550,823.15,NB,SI,-18624.3360327695,8,0.05,0.95,19
BCC_A2,550,823.15,NB,TI,1712.9984619618422,8,0.05,0.95,19
BCC_A2,550,823.15,NB,W,-4292.660893287813,8,0.05,0.95,19
BCC_A2,550,823.15,NI,SI,-25605.68251591394,8,0.05,0.95,19
BCC_A2,550,823.15,NI,TI,-12111.647544455598,8,0.05,0.95,19
BCC_A2,550,823.15,NI,W,-1.8105515128806743e-09,8,0.05,0.95,19
BCC_A2,550,823.15,SI,TI,-32960.529795917784,8,0.05,0.95,19
BCC_A2,550,823.15,SI,W,2.2951829441315187e-07,8,0.05,0.95,19
BCC_A2,550,823.15,TI,W,139.37242463334573,8,0.05,0.95,19
BCC_A2,570,843.15,CR,CU,0.05327628898909711,8,0.05,0.95,19
