ts,gen,phase,eval_id,code_int,code_hex,fit_df_surface,fit_neg_df_bulk,DF_bulk,IE_bulk,DF_surface,IE_surface,ok_go_no_go,T_eval_C,elapsed_s,from_cache,val_C,val_B,val_N,val_Mn,val_Si,val_Cr,val_Mo,val_V,val_Ni,val_Ti,val_Al,val_Nb,val_W,val_t_hom,val_version,val_flags,val_crc8,val_spare,bulk_C,bulk_B,bulk_N,bulk_Mn,bulk_Si,bulk_Cr,bulk_Mo,bulk_V,bulk_Ni,bulk_Ti,bulk_Al,bulk_Nb,bulk_W,gng_reason,gng_LIQ,gng_BCC_A2@t_hom,gng_BCC_A2,gng_Cr_matrix_wt,gng_FCC_A1#2,gng_M23C6_D84,gng_D_Fe,gng_D_Mo,gng_D_W,gng_D_Mo_minus_D_Fe,gng_D_W_minus_D_Fe
2025-08-19 12:40:48,0,init,1,252336560693540533935881068298825202077,0xbdd640fb06671ad11c80317fa3b1799d,-1000000.0,-1000000.0,,,,,False,650.0,9.50052,False,0.14400000000000002,0.007,0.022,1.74,0.3,15.74,4.58,0.13,0.06,0.17,0.5704,0.018,8.43,1525,29,139,204,29,0.14400000000000002,0.007,0.022,1.74,0.3,15.74,4.58,0.13,0.06,0.17,0.5704,0.018,8.43,LIQ>0 at t_hom,1.0,,,,,,,,,,
2025-08-19 12:40:50,0,init,2,47482295457342411543800303662309855831,0x23b8c1e9392456de3eb13b9046685257,-1000000.0,-1000000.0,,,,,False,650.0,1.514306,False,0.067,0.006,0.056,4.32,0.26,11.129999999999999,1.91,0.11,0.06,0.3,1.2504,1.978,10.049999999999999,910,51,66,146,23,0.067,0.006,0.056,4.32,0.26,11.129999999999999,1.91,0.11,0.06,0.3,1.2504,1.978,10.049999999999999,BCC_A2 too low at t_hom,,0.8562961717532895,,,,,,,,,
2025-08-19 12:40:51,0,init,3,252036172554514852379917073716435574953,0xbd9c66b3ad3c2d6d1a3d1fa7bc8960a9,-1000000.0,-1000000.0,,,,,False,650.0,1.635801,False,0.14400000000000002,0.006,0.028,2.5,0.12,17.41,2.86,0.22,0.11,0.13,0.5204,2.4579999999999997,5.58,1205,228,75,5,9,0.14400000000000002,0.006,0.028,2.5,0.12,17.41,2.86,0.22,0.11,0.13,0.5204,2.4579999999999997,5.58,BCC_A2 too low at t_hom,,0.9658381853401559,,,,,,,,,
2025-08-19 12:40:53,0,init,4,200934189435493509245876840523779924304,0x972a846916419f828b9d2434e465e150,-1000000.0,-1000000.0,,,,,False,650.0,2.201822,False,0.125,0.004,0.042,3.0900000000000003,0.26,10.780000000000001,3.08,0.15,0.12,0.02,2.7904,1.178,6.3100000000000005,1095,35,47,10,16,0.125,0.004,0.042,3.0900000000000003,0.26,10.780000000000001,3.08,0.15,0.12,0.02,2.7904,1.178,6.3100000000000005,BCC_A2 too low at t_hom,,0.9800103580628583,,,,,,,,,
2025-08-19 12:40:55,0,init,5,31882839497307630496007576300860674457,0x17fc695a07a0ca6e0822e8f36c031199,-1000000.0,-1000000.0,,,,,False,650.0,1.99899,False,0.061,0.007,0.06,2.5500000000000003,0.22,13.190000000000001,6.89,0.05,0.03,0.14,0.16040000000000001,1.4080000000000001,7.07,1035,96,24,140,25,0.061,0.007,0.06,2.5500000000000003,0.22,13.190000000000001,6.89,0.05,0.03,0.14,0.16040000000000001,1.4080000000000001,7.07,BCC_A2 too low at t_hom,,0.8946869350444739,,,,,,,,,
2025-08-19 12:41:00,0,init,6,204856358341536816138399558242345199755,0x9a1de644815ef6d13b8faa1837f8a88b,-1000000.0,-1000000.0,,,,,False,650.0,4.433944,False,0.127,0.0,0.029,5.050000000000001,0.17,9.29,4.25,0.27,0.06,0.17,1.1904,0.638,7.25,1225,191,197,68,11,0.127,0.0,0.029,5.050000000000001,0.17,9.29,4.25,0.27,0.06,0.17,1.1904,0.638,7.25,BCC_A2 too low at T_eval,,,0.7324065297249727,,,,,,,,
2025-08-19 12:41:02,0,init,7,243648848362029147724904434567477923763,0xb74d0fb132e706298fadc1a606cb0fb3,-1000000.0,-1000000.0,,,,,False,650.0,1.834457,False,0.14100000000000001,0.005,0.013000000000000001,0.76,0.12,11.06,9.700000000000001,0.03,0.01,0.09,2.8704,1.848,0.78,1140,54,88,125,19,0.14100000000000001,0.005,0.013000000000000001,0.76,0.12,11.06,9.700000000000001,0.03,0.01,0.09,2.8704,1.848,0.78,BCC_A2 too low at t_hom,,0.9855206253594724,,,,,,,,,
2025-08-19 12:41:03,0,init,8,142755197448285586864950898907211027337,0x6b65a6a48b8148f6b38a088ca65ed389,-1000000.0,-1000000.0,,,,,False,650.0,1.751707,False,0.10300000000000001,0.005,0.037,3.7800000000000002,0.09,9.39,5.63,0.04,0.07,0.22,3.5904,0.41800000000000004,1.8800000000000001,1405,50,246,156,9,0.10300000000000001,0.005,0.037,3.7800000000000002,0.09,9.39,5.63,0.04,0.07,0.22,3.5904,0.41800000000000004,1.8800000000000001,LIQ>0 at t_hom,0.011506688487090229,,,,,,,,,,
2025-08-19 12:41:05,0,init,9,94663391914329153046920958885615291360,0x4737819096da1dac72ff5d2a386ecbe0,-1000000.0,-1000000.0,,,,,False,650.0,1.824691,False,0.085,0.004,0.055,3.04,0.04,9.5,9.180000000000001,0.14,0.13,0.12,2.2904,5.108,5.18,1305,195,118,95,0,0.085,0.004,0.055,3.04,0.04,9.5,9.180000000000001,0.14,0.13,0.12,2.2904,5.108,5.18,LIQ>0 at t_hom,0.002693432032954809,,,,,,,,,,
2025-08-19 12:41:10,0,init,10,258208765752992901959170973957564585355,0xc241330b01a9e71fde8a774bcf36d58b,-1000000.0,-1000000.0,,,,,False,650.0,4.965701,False,0.14700000000000002,0.001,0.001,1.47,0.02,15.690000000000001,7.25,0.19,0.08,0.31,4.4504,0.42800000000000005,9.36,1370,121,182,172,11,0.14700000000000002,0.001,0.001,1.47,0.02,15.690000000000001,7.25,0.19,0.08,0.31,4.4504,0.42800000000000005,9.36,BCC_A2 too low at T_eval,,,0.7673774163557812,,,,,,,,
