,C,Mn,Si,Cr,Mo,N,Ni,Cu,Co,V,B,Nb,W,Al,Ti,Cluster,DF_seg,DF_bulk,IE_bulk,diff_Mo,diff_W,TD_Fe,real_fake,SURF_ENERGY,is_real,alloy_id
0,0.11,0.45,0.07,8.85,1.02,0.047,0.0,0.0,0.0,0.2,0.007,0.069,0.0,0.0,0.0,2,0.0929563125590061,-0.0898451400915329,0.2248208731916338,1.737838446717815e-18,,1.877259451905852e-18,real,2.552285027846437,1,alloy_1
1,0.103,0.45,0.088,8.61,0.5,0.05,0.0,0.0,0.0,0.22,0.0062,0.065,1.75,0.0,0.0,2,0.1930572201419371,0.1702127449795764,0.1946433872087768,1.6311915897669662e-18,1.878375100301157e-19,1.7740597384252813e-18,real,2.553643619861738,1,alloy_2
2,0.11,0.44,0.088,8.88,0.115,0.045,0.0,0.0,0.0,0.21,0.0044,0.069,2.7,0.0,0.0,2,0.1461585468350244,,0.1882692937543834,1.657558145230106e-18,1.8833346930311196e-19,1.836395574457951e-18,real,2.5609537621649805,1,alloy_3
3,0.13,0.08,0.13,10.98,0.07,0.044,0.48,0.96,0.0,0.21,0.007,0.07,2.42,0.0,0.0,2,0.1295296875508906,0.1262028487221954,0.1516172218548425,2.0033317504718854e-18,2.053828788186207e-19,2.98550370299049e-18,real,2.4522877708016693,1,alloy_4
4,0.14,0.08,0.03,11.4,0.08,0.0425,0.49,1.85,0.0,0.21,0.009,0.07,2.55,0.0,0.0,2,0.1371977541428825,0.1275055160527044,0.4520620501212035,2.094206676872545e-18,2.043008391849564e-19,3.0044230668764986e-18,real,2.480054935896716,1,alloy_5
5,0.13,0.09,0.05,11.19,0.53,0.044,0.5,1.94,0.0,0.22,0.0085,0.07,2.59,0.0,0.0,2,0.173768633875014,0.1756450451806968,0.4495959177428069,2.0997844167118592e-18,2.054061295747488e-19,3.019778126123411e-18,real,2.4511494876728586,1,alloy_6
6,0.12,0.07,0.14,11.05,0.11,0.0425,0.55,2.1,0.0,0.23,0.0093,0.08,3.6,0.0,0.0,2,0.1383646160771006,0.1344819202309637,0.4414116085344031,2.1009031922226025e-18,2.0968261161430932e-19,3.242597150478319e-18,real,2.4689813773306426,1,alloy_7
7,0.14,0.08,0.18,10.83,0.08,0.0445,0.5,1.53,1.1,0.21,0.0085,0.07,3.45,0.0,0.0,2,0.1171954846803737,0.1235621987009541,0.1852151151990225,1.744359635073907e-18,1.8659128609115365e-19,2.5761771324934098e-18,real,2.299406754245636,1,alloy_8
8,0.13,0.05,0.04,11.46,0.5,0.0413,0.13,0.0,3.0,0.22,0.0026,0.07,2.55,0.0,0.0,2,0.1494659365265335,0.1710382666356356,0.1979091206854426,1.4937177513810137e-18,1.4954622896697758e-19,1.6851916822537137e-18,real,2.251919696254247,1,alloy_9
9,0.13,0.08,0.13,11.5,0.09,0.0425,0.55,0.0,3.05,0.21,0.009,0.07,2.45,0.0,0.0,2,0.1110871243022894,0.1210199140068661,0.1961281803514702,1.5193028198279997e-18,1.5595140462281748e-19,2.0784155584444432e-18,real,2.270581432584299,1,alloy_10
10,0.09,0.05,0.04,11.26,0.1,0.0397,0.5,0.0,3.02,0.21,0.0076,0.06,3.51,0.0,0.0,2,0.1225426057485741,0.1248937899009569,0.2070298243231704,1.533171337665303e-18,1.5329629353841165e-19,1.9919323217299017e-18,real,2.265037446968246,1,alloy_11
11,0.106,0.46,0.04,8.96,0.47,0.051,0.06,0.0,0.0,0.2,0.001,0.069,1.84,0.007,0.0,2,0.1826190005576738,0.1684113352599331,0.1962648670503284,1.7157034709831405e-18,1.8988711345320125e-19,1.8770484803730374e-18,real,2.565552977132135,1,alloy_12
12,0.12,0.48,0.03,8.96,0.0,0.022,0.06,0.0,0.0,0.18,0.0,0.0,1.04,0.0,0.0,2,-0.2012584694139695,-0.169563899586499,0.1550345887940897,,1.9635240808142771e-19,1.822915163889962e-18,real,2.560370874677246,1,alloy_13
13,0.089,1.13,0.03,8.92,0.0,0.035,0.0,0.0,0.0,0.3,0.0,0.0,0.73,0.0,0.0,2,-0.2553906040089568,-0.2618387190738061,0.1651761472128709,,2.295985452331236e-19,1.972693497397457e-18,real,2.558768945541565,1,alloy_14
14,0.12,0.51,0.23,8.95,0.0,0.029,0.0,0.0,0.0,0.24,0.0,0.0,2.01,0.0,0.0,2,-0.8776391020984805,0.1076480112248422,0.1743176450589305,,1.9559141886412912e-19,1.9992355652313375e-18,real,2.559535153178401,1,alloy_15
15,0.11,0.44,0.21,8.9,0.0,0.017,0.0,0.0,0.0,0.23,0.0,0.0,2.01,0.0,0.0,2,0.1073919425201609,0.1080674005989112,0.1748982631745302,,1.9252249644255931e-19,1.9770551071185395e-18,real,2.5618257323328057,1,alloy_16
16,0.094,0.4,0.21,8.38,0.0,0.014,0.0,0.0,0.0,0.23,0.005,0.0,2.02,0.0,0.0,2,0.1062436137878991,0.107315616593176,0.1759432126567233,,1.8767283471912641e-19,1.839752369939773e-18,real,2.556738570369682,1,alloy_17
17,0.1,0.53,0.042,9.03,0.0,0.0,0.0,0.0,0.0,0.26,0.0032,0.0,2.06,0.0,0.021,2,0.1073555215500373,0.1078619422554894,0.1879579790896768,,1.9089993394038504e-19,1.8786480882048426e-18,real,2.5634361295969232,1,alloy_18
18,0.097,0.46,0.1,9.04,0.0,0.0237,0.0,0.0,0.0,0.19,0.0,0.0,1.97,0.003,0.0,2,0.1080927510327838,0.1082215034464904,0.1888072763867453,,1.9128134435108936e-19,1.9535170952995244e-18,real,2.5662962839156083,1,alloy_19
19,0.094,0.99,0.05,9.19,0.0,0.0267,0.0,0.0,0.0,0.24,0.0,0.0,2.5,0.003,0.0,2,0.1053269781211841,0.1060338906654353,0.165173289895665,,2.1321999499877217e-19,2.06957463150556e-18,real,2.565255496450332,1,alloy_20
20,0.096,1.0,0.048,8.99,0.0,0.0259,0.0,0.0,0.0,0.24,0.0,0.0,2.97,0.003,0.0,2,0.1051497466772917,0.1055455168163558,0.1656347863554622,,2.1172333170953544e-19,2.0031642849740885e-18,real,2.5642691060986285,1,alloy_21
21,0.097,0.9,0.048,8.96,0.0,0.027,0.0,0.0,0.0,0.25,0.0,0.0,3.59,0.003,0.0,2,0.1059404351256674,0.1059319240777141,0.1662901563606384,,2.0719850112189861e-19,1.9699093374791326e-18,real,2.5647182446750154,1,alloy_22
